"parameters","objective","scenario","catch_rule","stat_yrs","fhist","idxB_lag","idxB_range_3","exp_b","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness","iter","risk_penalty"
"all","MSY","GA","hr","all","random",0,5,1,0.6,1,0.79,Inf,0,0.24316,0.49608,0.19988,0.00468,286.162578069998,0.124778221713699,50.571745899799,1.00714849894146,1.07962576280701,1.0473548412996,0.0543982076434346,-0.352061547884488,10,NA
"multiplier (cond. cap)","MSY","GA_cond_cap","hr","all","random",1,1,1,1.4,1,0.86,1.2,0.7,0.24292,0.501,0.1966,0.00168,283.66310145757,0.122855944414106,50.2310012446855,0.998351597070764,1.06299353269989,1.04029792527207,0.2,-0.484866328201309,1,NA
"all (cond. cap)","MSY","GA_cond_cap","hr","all","random",1,4,1,1,1,0.8,1.2,0.7,0.25608,0.4998,0.21324,0.025,284.276555514446,0.119862128321534,49.6084231299275,1.00051064713496,1.03708996604975,1.02740416036487,0.0688675927101233,-0.35286240020995,18,NA
"not optimised","MSY-PA","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.657758232188487,NA,4.687725668977e-06
"time lag","MSY-PA","GA","hr","all","one-way",0,1,1,1.4,1,1,Inf,0,0.0298,0.17496,0.01604,0,383.400974534653,0.0922232033138557,52.0072635269466,1.34937879928106,0.797948110325542,1.07708480829625,0.218304338294018,-0.644769329830272,1,1.38395894620182e-06
"index range","MSY-PA","GA","hr","all","one-way",1,5,1,1.4,1,1,Inf,0,0.04532,0.19696,0.02528,0,388.900940743417,0.0908981340915322,52.62553775173,1.36873591700325,0.78648313791068,1.089889438452,0.0598420635152496,-0.521710566608556,1,0.00324314763805672
"index trigger
buffer","MSY-PA","GA","hr","all","one-way",1,1,1,0,1,1,Inf,0,0.03732,0.19808,0.02028,0,381.023473684857,0.0923732905723771,51.228135294041,1.34101119081089,0.799246718918799,1.06094884715415,0.200130656687024,-0.602150132820292,1,5.94381682232202e-05
"interval","MSY-PA","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.657758232188487,1,4.687725668977e-06
"multiplier","MSY-PA","GA","hr","all","one-way",1,1,1,1.4,1,1.29,Inf,0,0.0488,0.44748,0.02576,0,294.946919711469,0.120324946147358,54.7488535486094,1.03806496802719,1.04109443126318,1.13386389572851,0.236804904256309,-0.427154967509198,1,0.0184211994971799
"upper cap","MSY-PA","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.657758232188487,1,4.687725668977e-06
"lower cap","MSY-PA","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0.63,0.04576,0.19648,0.02628,0,380.701956658431,0.0924504066265139,51.6175688716791,1.33987961241678,0.799913954576021,1.06901412423025,0.219811978932362,-0.63274628145967,1,0.00404056588028086
"both caps","MSY-PA","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0.63,0.04576,0.19648,0.02628,0,380.701956658431,0.0924504066265139,51.6175688716791,1.33987961241678,0.799913954576021,1.06901412423025,0.219811978932362,-0.63274628145967,10,0.00404056588028086
"all without caps","MSY-PA","GA","hr","all","one-way",1,2,1,1.4,1,1.23,NA,0,0.04828,0.3872,0.02648,0,310.315727353659,0.115560392159166,54.7993089191102,1.0921554492206,0.99986980758053,1.13490884040312,0.12339692710385,-0.364676902755986,28,0.0142156860284147
"all","MSY-PA","GA","hr","all","one-way",0,2,1,1.3,1,1.22,Inf,0.07,0.04248,0.39028,0.02268,0,307.593806111152,0.116736593341606,54.553774721895,1.08257565401427,1.01004672051747,1.12982375928554,0.119491308977564,-0.332675022275708,13,0.000784299998334356
"multiplier (cond. cap)","MSY-PA","GA_cond_cap","hr","all","one-way",1,1,1,1.4,1,1.34,1.2,0.7,0.04924,0.38272,0.02668,0,312.130371755205,0.114201460519266,54.6346141178806,1.09854208578732,0.988111845428319,1.1314979655295,0.2,-0.452973487775347,1,0.02293343645852
"all (cond. cap)","MSY-PA","GA_cond_cap","hr","all","one-way",1,3,1,1.6,1,1.21,1.2,0.7,0.0468,0.32872,0.02548,0,327.855105222223,0.109676899484265,55.1166976499725,1.15388524705731,0.948963726536324,1.1414820487812,0.101915078708226,-0.404074974298876,15,0.00679259975214478
"not optimised","MSY-PA","GA","hr","all","random",1,1,1,1.4,1,1,Inf,0,0.41456,0.65756,0.35844,0.01456,199.343353747125,0.15282555083395,48.1445232924074,0.701588449665359,1.32230127685327,0.997086389943371,0.227788637014605,-5.52911379740587,NA,5
"time lag","MSY-PA","GA","hr","all","random",0,1,1,1.4,1,1,Inf,0,0.41176,0.6602,0.35696,0,199.050732189857,0.1604060920566,48.2545504407433,0.70055856880481,1.38789082835988,0.999365082609277,0.228031781730343,-5.52810813031626,1,5
"index range","MSY-PA","GA","hr","all","random",1,4,1,1.4,1,1,Inf,0,0.42768,0.65612,0.38288,0.1298,197.674358490654,0.130225013998513,47.8300340097274,0.69571442491121,1.12675335602465,0.990573229938881,0.0754835555617046,-5.38919590071161,1,5
"index trigger
buffer","MSY-PA","GA","hr","all","random",1,1,1,2,1,1,Inf,0,0.3702,0.62612,0.31604,0.01164,217.733759084225,0.142623252273866,48.6797065188481,0.766313436611959,1.23402734399832,1.00817018254776,0.266113401473632,-5.50797014740943,1,5
"interval","MSY-PA","GA","hr","all","random",1,1,1,1.4,1,1,Inf,0,0.41456,0.65756,0.35844,0.01456,199.343353747125,0.15282555083395,48.1445232924074,0.701588449665359,1.32230127685327,0.997086389943371,0.227788637014605,-5.52911379740587,1,5
"multiplier","MSY-PA","GA","hr","all","random",1,1,1,1.4,1,0.48,Inf,0,0.05064,0.16224,0.04052,0,480.949215496867,0.0699551489740588,45.2687646211637,1.69269959657777,0.605276946859267,0.937528632678987,0.202120508938485,-1.00325999967371,1,0.0459685268364403
"upper cap","MSY-PA","GA","hr","all","random",1,1,1,1.4,1,1,1.12,0,0.2524,0.499,0.20964,0.00756,284.545436361656,0.11817686994352,49.5134415751141,1.00145697262408,1.02250850834902,1.0254370661011,0.12,-5.14689403872519,1,5
"lower cap","MSY-PA","GA","hr","all","random",1,1,1,1.4,1,1,Inf,0.18,0.41456,0.65756,0.35844,0.01624,199.343353747125,0.152669134829452,48.1445232924074,0.701588449665359,1.3209479096883,0.997086389943371,0.22752449510494,-5.52884965549621,1,5
"both caps","MSY-PA","GA","hr","all","random",1,1,1,1.4,1,1,1.12,0.34,0.25264,0.5,0.21036,0.00764,284.124049798992,0.11822490002525,49.4951455869446,0.999973903639582,1.02292408177933,1.02505815112705,0.12,-5.14508424748746,23,5
"all without caps","MSY-PA","GA","hr","all","random",0,5,1,0.8,1,0.46,NA,0,0.04824,0.14424,0.0388,0,501.282292252233,0.0672592040037781,45.5742121986224,1.76426181086569,0.581950667601149,0.943854536468198,0.0513291441530229,-0.885671399645727,43,0.0139349810952114
"all","MSY-PA","GA","hr","all","random",0,5,1,0.1,1,0.46,Inf,0,0.04824,0.14424,0.0388,0,501.282292252233,0.0672592040037781,45.5742121986224,1.76426181086569,0.581950667601149,0.943854536468198,0.0513291441530229,-0.885671399645727,10,0.0139349810952114
"multiplier (cond. cap)","MSY-PA","GA_cond_cap","hr","all","random",1,1,1,1.4,1,0.51,1.2,0.7,0.0512,0.15904,0.04108,0,483.690573438592,0.0696714002967453,45.8211406548501,1.70234779919983,0.602821851907737,0.948968493075452,0.199999999999999,-1.01402148104574,1,0.0606421749213711
"all (cond. cap)","MSY-PA","GA_cond_cap","hr","all","random",1,3,1,1.5,1,0.46,1.2,0.7,0.04828,0.1414,0.03908,0,504.31035589753,0.0656755463578326,44.987914527048,1.77491907351558,0.568248295740521,0.931712149571316,0.0828683734435517,-0.940290983416226,26,0.0142156860284147
