"file","obj_fun","fhist","scenario","optimised","group","stock","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","solution","fitness","iter","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness_improvement"
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","group",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-16.9168023585994,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","ang3",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.06584,0.28372,0.03508,0.00412,398.63119976928,0.0258129658584515,14.2557263888055,1.44809406867554,0.42997853785624,0.645534120349501,0.247770103269113,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","rjc2",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.07836,0.33028,0.0528,0.00772,384.774991979568,0.0283217514979407,15.0381885635016,1.33672128415367,0.473450297420753,0.685307395031659,0.265302609306404,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","smn",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.1684,0.24688,0.11176,0.05152,422.826553637921,0.0296162218887543,26.401055435523,1.85571731935644,0.278622991622066,0.511704476323115,0.224438750148077,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","wlf",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.03868,0.17048,0.02052,0.00028,587.791245256107,0.0172970893014044,12.4942640048533,2.07990098265015,0.235264903608399,0.450246860204317,0.241379764262675,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","meg",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.02132,0.14536,0.0204,0,896.26307915596,0.00056643294582891,0.482726565698551,2.769175518477,0.00734206740511525,0.0189790865205292,0.264710574924246,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","lin",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.1714,0.34048,0.11432,0.03348,367.645021993371,0.0458954296025056,29.6329753978692,1.39694255254746,0.489107261919388,0.725312653127936,0.262542899277792,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","rjc",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.20536,0.35492,0.13708,0.04696,347.341222787956,0.0477230807370575,32.4886170356411,1.38934656147662,0.478133041511468,0.70998460665662,0.269191444064387,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","syc",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.20572,0.32036,0.13232,0.04804,363.735029855431,0.0479096268487393,40.3232972740786,1.55289895070683,0.41621300498055,0.669491186026361,0.254667084480274,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","sdv",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.18512,0.35196,0.13116,0.04772,364.603588722345,0.0424670273586409,30.91025929825,1.37230086060382,0.486356817704171,0.719369610803345,0.262296556382022,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","ang",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.33752,0.48024,0.26512,0.13604,264.62374345759,0.0492010637562415,37.277029050564,1.05354956756217,0.471089526708012,0.642515971095879,0.303439245261874,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","ang2",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.3734,0.49952,0.30872,0.18276,249.467525840318,0.0487047437502636,32.3977063311481,1.00097506740736,0.400599301862247,0.555831810236753,0.34268732971711,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","pol",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",NA,15,0.2216,0.3722,0.1916,0.09464,385.703912342709,0.0525495887775619,33.4029359579476,1.35748398330681,0.454677820295795,0.691784040015035,0.318611096972651,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"medium","group",0,2,3,1,0.8,0.2,0.8,2,1.07,Inf,0,"0_2_3_1_0.8_0.2_0.8_2_1.07_Inf_0",-6.42681835582855,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.2716682554255
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"medium","had",0,2,3,1,0.8,0.2,0.8,2,1.07,Inf,0,"0_2_3_1_0.8_0.2_0.8_2_1.07_Inf_0",NA,19,0.20592,0.48888,0.19256,0.03544,316.378972799345,0.132394215263179,42.0352788979089,1.01911151959788,0.882159217682307,0.956194319461356,0.216039747013642,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"medium","nep",0,2,3,1,0.8,0.2,0.8,2,1.07,Inf,0,"0_2_3_1_0.8_0.2_0.8_2_1.07_Inf_0",NA,19,0.1938,0.41552,0.153,0.03008,322.736520338012,0.118435636326924,51.3964272749377,1.15730128682108,0.793809375459681,0.960431072883779,0.202571458103834,NA
