"risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fhist","stock","catch_rule","group","fitness","scenario","optimised"
0.35852,0.71604,0.2494,0.03148,196.290585164783,0.0628026391095872,19.9247325499467,0.713058165739385,1.04613267169422,0.90224056979159,0.164420638095607,"one-way","ang3","2 over 3","2 over 3",-0.907641902564633,"MSY","default"
0.35852,0.71604,0.2494,0.03148,196.290585164783,0.0628026391095872,19.9247325499467,0.713058165739385,1.04613267169422,0.90224056979159,0.164420638095607,"one-way","ang3","2 over 3","2 over 3",-5.54912190256463,"PA","default"
0.22288,0.4144,0.181,0.00416,321.568310486944,0.0446334263280616,17.6862866276517,1.16815031879009,0.743479672087763,0.800878269478829,0.144071204742963,"random","ang3","2 over 3","2 over 3",-0.73422325405422,"MSY","default"
0.22288,0.4144,0.181,0.00416,321.568310486944,0.0446334263280616,17.6862866276517,1.16815031879009,0.743479672087763,0.800878269478829,0.144071204742963,"random","ang3","2 over 3","2 over 3",-5.51134325405422,"PA","default"
0.35652,0.70952,0.27976,0.05692,200.140554967463,0.060676525847964,19.5466452327815,0.695295030144635,1.01432000811339,0.890762904688994,0.172805176887413,"one-way","rjc2","2 over 3","2 over 3",-0.943267242053784,"MSY","default"
0.35652,0.70952,0.27976,0.05692,200.140554967463,0.060676525847964,19.5466452327815,0.695295030144635,1.01432000811339,0.890762904688994,0.172805176887413,"one-way","rjc2","2 over 3","2 over 3",-5.58674724205378,"PA","default"
0.21396,0.40876,0.1852,0.0136,340.718057555304,0.0454665843344404,17.8865477461135,1.1836660098062,0.760057790825957,0.815110369858552,0.149393265187611,"random","rjc2","2 over 3","2 over 3",-0.731908905135262,"MSY","default"
0.21396,0.40876,0.1852,0.0136,340.718057555304,0.0454665843344404,17.8865477461135,1.1836660098062,0.760057790825957,0.815110369858552,0.149393265187611,"random","rjc2","2 over 3","2 over 3",-5.51794890513526,"PA","default"
0.34208,0.51876,0.21236,0.04808,220.820668797855,0.091699817241105,48.3655557282767,0.969146180707845,0.862691990453209,0.937419771965416,0.151642515873811,"one-way","smn","2 over 3","2 over 3",-0.58715656320055,"MSY","default"
0.34208,0.51876,0.21236,0.04808,220.820668797855,0.091699817241105,48.3655557282767,0.969146180707845,0.862691990453209,0.937419771965416,0.151642515873811,"one-way","smn","2 over 3","2 over 3",-5.24507656320055,"PA","default"
0.19272,0.29316,0.12896,0.01644,357.170487175259,0.0625673723047125,41.259667193187,1.56756346854622,0.588620267465312,0.799693650351125,0.139497078070182,"random","smn","2 over 3","2 over 3",-1.10008689626528,"MSY","default"
0.19272,0.29316,0.12896,0.01644,357.170487175259,0.0625673723047125,41.259667193187,1.56756346854622,0.588620267465312,0.799693650351125,0.139497078070182,"random","smn","2 over 3","2 over 3",-5.90736689626528,"PA","default"
0.38,0.6352,0.30588,0.10152,209.27151762969,0.0681252860341304,25.0035275327978,0.740507856609929,0.926600341411949,0.901034247499604,0.181957492938183,"one-way","wlf","2 over 3","2 over 3",-0.92041538882865,"MSY","default"
0.38,0.6352,0.30588,0.10152,209.27151762969,0.0681252860341304,25.0035275327978,0.740507856609929,0.926600341411949,0.901034247499604,0.181957492938183,"one-way","wlf","2 over 3","2 over 3",-5.54041538882865,"PA","default"
0.19196,0.35292,0.16872,0.03788,364.439807743568,0.0543044318106696,23.8134633520106,1.2895712897398,0.738617156495153,0.858148755354334,0.152276640842442,"random","wlf","2 over 3","2 over 3",-0.775659175227904,"MSY","default"
0.19196,0.35292,0.16872,0.03788,364.439807743568,0.0543044318106696,23.8134633520106,1.2895712897398,0.738617156495153,0.858148755354334,0.152276640842442,"random","wlf","2 over 3","2 over 3",-5.5836991752279,"PA","default"
0.42224,0.67976,0.4198,0.17044,195.985561245239,0.067968277592533,20.8916548329716,0.60553472612794,0.881000441744594,0.821385340701563,0.191452719879707,"one-way","meg","2 over 3","2 over 3",-1.1867726530502,"MSY","default"
0.42224,0.67976,0.4198,0.17044,195.985561245239,0.067968277592533,20.8916548329716,0.60553472612794,0.881000441744594,0.821385340701563,0.191452719879707,"one-way","meg","2 over 3","2 over 3",-5.7645326530502,"PA","default"
0.19836,0.37972,0.19736,0.058,400.566873033659,0.0562997662565185,21.3486279756019,1.2376276610237,0.729753948444314,0.83935189449789,0.158329065566181,"random","meg","2 over 3","2 over 3",-0.754964832091992,"MSY","default"
0.19836,0.37972,0.19736,0.058,400.566873033659,0.0562997662565185,21.3486279756019,1.2376276610237,0.729753948444314,0.83935189449789,0.158329065566181,"random","meg","2 over 3","2 over 3",-5.55660483209199,"PA","default"
0.388,0.592,0.29476,0.09916,214.026051256453,0.0801368586367407,37.2473615668493,0.813235812993637,0.854017923921938,0.911686466759921,0.170080287427,"one-way","lin","2 over 3","2 over 3",-0.833158007673441,"MSY","default"
0.388,0.592,0.29476,0.09916,214.026051256453,0.0801368586367407,37.2473615668493,0.813235812993637,0.854017923921938,0.911686466759921,0.170080287427,"one-way","lin","2 over 3","2 over 3",-5.44515800767344,"PA","default"
0.18672,0.31452,0.15128,0.02924,378.710853013819,0.0621978077873334,34.9220889809687,1.43898944372512,0.662841588535652,0.854771843578611,0.149963903238882,"random","lin","2 over 3","2 over 3",-0.92090150338539,"MSY","default"
0.18672,0.31452,0.15128,0.02924,378.710853013819,0.0621978077873334,34.9220889809687,1.43898944372512,0.662841588535652,0.854771843578611,0.149963903238882,"random","lin","2 over 3","2 over 3",-5.73418150338539,"PA","default"
