"file","obj_fun","fhist","scenario","optimised","stock","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","solution","fitness","iter","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV"
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"rjc",0,2,3,1,1.1,0.6,0.4,2,1,Inf,0,"0_2_3_1_1.1_0.6_0.4_2_1_Inf_0",-0.462996242636588,35,0.2084,0.47744,0.10164,0.00528,258.03813838141,0.0896232086879559,45.571074764135,1.03213893649732,0.897926468663926,0.995879927909505,0.218337234048773
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"rjc",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.15391339888439,35,0.20536,0.35492,0.13708,0.04696,347.341222787956,0.0477230807370575,32.4886170356411,1.38934656147662,0.478133041511468,0.70998460665662,0.269191444064387
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"syc",0,3,3,1,0.9,0.3,0.3,2,1.01,Inf,0,"0_3_3_1_0.9_0.3_0.3_2_1.01_Inf_0",-0.474018315280454,34,0.29112,0.49012,0.14996,0.006,237.736772686601,0.102836033075695,60.1639835202936,1.01497286361499,0.893384005720778,0.998907812753817,0.166833264419278
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"syc",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.34379484916075,34,0.20572,0.32036,0.13232,0.04804,363.735029855431,0.0479096268487393,40.3232972740786,1.55289895070683,0.41621300498055,0.669491186026361,0.254667084480274
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"sdv",1,2,3,1,1,0.1,0.1,2,0.98,Inf,0,"1_2_3_1_1_0.1_0.1_2_0.98_Inf_0",-0.412962723502985,14,0.20508,0.478,0.12116,0.00352,273.965975183914,0.0773567952805727,42.2129592685509,1.03115755069365,0.885934503084477,0.982415572346694,0.159140745156028
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"sdv",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.10034780618249,14,0.18512,0.35196,0.13116,0.04772,364.603588722345,0.0424670273586409,30.91025929825,1.37230086060382,0.486356817704171,0.719369610803345,0.262296556382022
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"ang",0,2,3,1,0.9,0.3,0.3,2,0.99,Inf,0,"0_2_3_1_0.9_0.3_0.3_2_0.99_Inf_0",-0.449721876703577,19,0.22928,0.48192,0.1224,0.00524,257.787503335403,0.0963678588358727,59.3457611998783,1.02633236577077,0.922701371534813,1.02289802484104,0.171211486091771
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"ang",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.05199284172816,19,0.33752,0.48024,0.26512,0.13604,264.62374345759,0.0492010637562415,37.277029050564,1.05354956756217,0.471089526708012,0.642515971095879,0.303439245261874
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"ang2",0,2,3,1,0.9,0.5,0.6,2,1.02,Inf,0,"0_2_3_1_0.9_0.5_0.6_2_1.02_Inf_0",-0.502659415049956,24,0.26376,0.49952,0.15828,0.02084,249.382752032256,0.109031597672697,57.7243986162513,1.0006349170493,0.896791124342411,0.990349645426948,0.2286141434276
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"ang2",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.16123058688772,24,0.3734,0.49952,0.30872,0.18276,249.467525840318,0.0487047437502636,32.3977063311481,1.00097506740736,0.400599301862247,0.555831810236753,0.34268732971711
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"pol",0,2,3,1,0.9,0.4,0.5,2,1.03,Inf,0,"0_2_3_1_0.9_0.4_0.5_2_1.03_Inf_0",-0.43235584346619,18,0.185,0.48088,0.138,0.00876,291.738948323929,0.106409581492119,48.8266384282336,1.02677452051516,0.920693723717267,1.01121318301962,0.209368139931406
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"pol",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.20591104026442,18,0.2216,0.3722,0.1916,0.09464,385.703912342709,0.0525495887775619,33.4029359579476,1.35748398330681,0.454677820295795,0.691784040015035,0.318611096972651
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"had",0,2,3,1,0.9,0.3,0.8,2,1.08,Inf,0,"0_2_3_1_0.9_0.3_0.8_2_1.08_Inf_0",-0.50979888833387,35,0.19376,0.48224,0.18092,0.0368,318.986900456059,0.131396261499992,41.8508950777376,1.02751210669669,0.875509726922712,0.952000062492666,0.240526844129842
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"had",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-2.262390719807,35,0.09092,0.16356,0.08636,0.0198,727.214205057418,0.0291056279816655,19.0633341584081,2.34248302607411,0.19393444010691,0.43364174831656,0.262629442049451
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"nep",1,2,3,1,1,0,0.3,1,1,Inf,0,"1_2_3_1_1_0_0.3_1_1_Inf_0",-0.646356418262756,11,0.27172,0.48872,0.2326,0.098,284.645653874311,0.11867771699427,48.3877996192585,1.02071120173123,0.795431909937614,0.904209665279036,0.258134881810562
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"nep",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-2.71278194407565,11,0.08212,0.14264,0.06492,0.01908,765.397426283661,0.022627432812306,19.1102252284812,2.74463957608486,0.151659322025437,0.357107586896236,0.243129954887027
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"mut",0,2,3,1,0.8,0.4,0.6,2,1.1,Inf,0,"0_2_3_1_0.8_0.4_0.6_2_1.1_Inf_0",-0.86754075484067,20,0.3758,0.47868,0.31176,0.20176,244.415944976498,0.119761840576091,66.0461443157345,1.05610406478465,0.586632139427903,0.788853940190655,0.224490630246677
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"mut",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-3.4396080255193,20,0.13852,0.1684,0.1122,0.073,772.506652090221,0.0219107366140943,23.4103978593482,3.33794677521596,0.107325858007342,0.279613364021587,0.242754614324932
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"sbb",0,2,2,1,0.9,0.5,0.7,2,1.06,Inf,0,"0_2_2_1_0.9_0.5_0.7_2_1.06_Inf_0",-0.802801992309774,21,0.36656,0.4994,0.31892,0.18988,256.663540977104,0.134074084685226,60.4201358132029,1.00128266218397,0.612990463348611,0.806475191832291,0.241434521958093
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"sbb",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.94001192826999,21,0.25732,0.3114,0.23232,0.16368,489.646392582519,0.054521933648168,38.7176936134454,1.91018343169176,0.249275804851611,0.516795584186424,0.289304080764655
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"ple",0,2,2,1,0.9,0.4,0.4,2,1.07,Inf,0,"0_2_2_1_0.9_0.4_0.4_2_1.07_Inf_0",-0.761741137712202,28,0.3868,0.49576,0.31632,0.19924,236.620364209592,0.137481879637461,76.8264231002724,1.01107992592075,0.651054715482543,0.846688304957567,0.210549516749016
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"ple",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-3.02625320646148,28,0.156,0.19028,0.12784,0.0848,699.51447105097,0.0313534270231853,33.2666266794511,2.98902861523886,0.148476268754915,0.36662469262845,0.24784928385107
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"syc2",1,2,3,1,1,0.2,0.2,2,1.01,Inf,0,"1_2_3_1_1_0.2_0.2_2_1.01_Inf_0",-0.553268853330847,30,0.36512,0.49848,0.19428,0.01776,212.724392006593,0.139449221938079,123.206726942747,1.00321457312999,0.918656319966689,1.00711819899393,0.177816081206924
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"syc2",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.75161415611432,30,0.22424,0.28824,0.1504,0.07212,394.486555076302,0.0496168532967511,70.6351620107202,1.86041035173872,0.32686332146163,0.577386956987653,0.244350761363252
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"arg",0,2,3,1,0.9,0.2,0.2,2,1,Inf,0,"0_2_3_1_0.9_0.2_0.2_2_1_Inf_0",-0.520098857869763,14,0.32508,0.4918,0.15424,0.00332,223.044137803843,0.146430651109347,119.086692222024,1.01188992436704,0.934221848319227,1.02008406271845,0.163044870784271
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"arg",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.4269864137661,14,0.28412,0.36592,0.19872,0.0992,329.223188165578,0.059037013843865,71.1969120869639,1.49359508056528,0.3766538479111,0.609865250092546,0.259136583293364
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"tur",0,2,2,1,0.9,0.4,0.4,2,1.09,Inf,0,"0_2_2_1_0.9_0.4_0.4_2_1.09_Inf_0",-0.757043490098061,32,0.33692,0.49068,0.32056,0.19356,300.789053231716,0.146305868443245,62.0462115942399,1.02450492458547,0.644983040583988,0.826965239785179,0.222583805297766
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"tur",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-3.0772187110765,32,0.12044,0.16324,0.11336,0.06068,861.762597330532,0.0206536628369749,18.3374703921939,2.9352132842034,0.0910507719036316,0.244405745496668,0.265971172369763
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"gut",0,2,2,1,0.8,0.3,0.6,2,1.02,Inf,0,"0_2_2_1_0.8_0.3_0.6_2_1.02_Inf_0",-0.886896424907807,22,0.38012,0.4778,0.34464,0.24284,274.908188880297,0.137317588062489,76.9014607109916,1.07361618067939,0.525309203704126,0.763579698086428,0.196739942314841
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"gut",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-1.81311960618482,22,0.36592,0.41612,0.34572,0.2784,390.750385297012,0.0485203197510881,39.3513734715882,1.52602197108159,0.185614755484307,0.390732628443127,0.311910263546358
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"whg",0,2,3,1,0.6,0.6,0.7,2,1,Inf,0,"0_2_3_1_0.6_0.6_0.7_2_1_Inf_0",-1.23195470014993,27,0.476,0.50204,0.4442,0.38128,207.260911332468,0.0813744344467545,95.227242495897,0.979487606699111,0.206460966409973,0.45526490711142,0.190707213960459
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"whg",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-2.89931258653337,27,0.5716,0.58864,0.54604,0.49308,6.04259805560813,0,0,0.0285565178194077,0,0,0.356269104352777
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"bll",0,2,3,1,0.7,0.4,0.9,3,1,Inf,0,"0_2_3_1_0.7_0.4_0.9_3_1_Inf_0",-1.19924140154731,28,0.47116,0.49936,0.45532,0.40352,236.77190382403,0.0801771840815825,68.6983042001643,1.00608188211544,0.198988607213162,0.478716975772084,0.200716495203959
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"bll",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-2.5167525272897,28,0.52604,0.5458,0.51152,0.46432,82.9050086527246,7.95555189740316e-05,0.029824891531643,0.352276709335074,0.000197445720975367,0.000207831649456122,0.34319706827423
