"parameters","objective","scenario","catch_rule","stat_yrs","fhist","stock","idxB_lag","idxB_range_3","exp_b","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness","iter","risk_penalty"
"all","MSY-PA","GA_cond_cap","hr","all","random","ang3",1,4,1,1.9,1,0.1,1.2,0.7,0.05328,0.12864,0.0386,0,681.562976054332,0.00700539653762085,5.37686312456935,2.47589075723216,0.116692137465605,0.243477498984839,0.0598593808366105,-2.46011875549135,18,0.167846116407412
"none","MSY","GA","hr","all","one-way","rjc2",1,1,1,1.4,1,1,Inf,0,0.00296,0.21456,0.00056,0,352.028520881176,0.051867239024208,23.5454593275368,1.22295894041884,0.867056535828656,1.07299342127819,0.241794226227418,-0.540706587924451,NA,NA
"none","MSY","GA","hr","all","random","rjc2",1,1,1,1.4,1,1,Inf,0,0.453,0.72396,0.39748,0,179.335057008948,0.0943551461751715,22.2532576789997,0.623016029356455,1.57732024529139,1.0141063191598,0.228164389549085,-1.07225467935243,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","rjc2",1,1,1,1.4,1,1,1.2,0.7,0.0032,0.17872,6e-04,0,375.164632392579,0.0479600562456772,23.0908422911747,1.30333457120175,0.801740771416729,1.05227600470832,0.2,-0.558810575910069,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","rjc2",1,1,1,1.4,1,1,1.2,0.7,0.4012,0.67468,0.3408,0,198.942179723867,0.087678583505476,22.3735311314459,0.6911318341784,1.46570918967057,1.01958731748877,0.2,-0.929655483310374,NA,NA
"none","MSY-PA","GA","hr","all","one-way","rjc2",1,1,1,1.4,1,1,Inf,0,0.00296,0.21456,0.00056,0,352.028520881176,0.051867239024208,23.5454593275368,1.22295894041884,0.867056535828656,1.07299342127819,0.241794226227418,-0.537746587926507,NA,2.05537647023078e-12
"none","MSY-PA","GA","hr","all","random","rjc2",1,1,1,1.4,1,1,Inf,0,0.453,0.72396,0.39748,0,179.335057008948,0.0943551461751715,22.2532576789997,0.623016029356455,1.57732024529139,1.0141063191598,0.228164389549085,-5.61925467935243,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","rjc2",1,1,1,1.4,1,1,1.2,0.7,0.0032,0.17872,6e-04,0,375.164632392579,0.0479600562456772,23.0908422911747,1.30333457120175,0.801740771416729,1.05227600470832,0.2,-0.555610575912387,NA,2.31743049899541e-12
"none","MSY-PA","GA_cond_cap","hr","all","random","rjc2",1,1,1,1.4,1,1,1.2,0.7,0.4012,0.67468,0.3408,0,198.942179723867,0.087678583505476,22.3735311314459,0.6911318341784,1.46570918967057,1.01958731748877,0.2,-5.52845548331037,NA,5
"mult","MSY","GA","hr","all","one-way","rjc2",1,1,1,1.4,1,1.28,Inf,0,0.0054,0.50004,0.00084,0,287.84101658127,0.0660871697994115,24.9995682687171,0.999969388179585,1.10476889819128,1.1392588232822,0.275043066916913,-0.419732502019527,1,NA
