"parameters","objective","scenario","catch_rule","stat_yrs","fhist","stock","idxB_lag","idxB_range_3","exp_b","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness","iter","risk_penalty"
"mult","MSY-PA","GA","hr","all","one-way","meg",1,1,1,1.4,1,1.52,Inf,0,0.04304,0.49776,0.0416,4e-04,324.375563073643,0.077629773600723,27.1311912212822,1.00222009468653,1.00623213147722,1.06670165303331,0.242970996556288,-0.312930422389837,1,0.0010376781137119
"mult","MSY-PA","GA","hr","all","random","meg",1,1,1,1.4,1,0.41,Inf,0,0.05124,0.16448,0.05068,0,626.581284535233,0.0249869562875156,15.0045279039498,1.93594224042437,0.323879319984011,0.589924511149837,0.13464318856571,-1.54251299154106,1,0.061852073700812
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","meg",1,1,1,1.4,1,1.63,1.2,0.7,0.04732,0.4828,0.04584,4e-04,329.558615477873,0.0772237533195673,27.473057722413,1.01823412244531,1.00096932271223,1.08014262430872,0.2,-0.307182721537193,1,0.00880597478316422
"mult","MSY-PA","GA_cond_cap","hr","all","random","meg",1,1,1,1.4,1,0.44,1.2,0.7,0.05188,0.16628,0.05116,0,625.232498785997,0.0250754296930042,15.3342880729777,1.93177490991247,0.325026106574447,0.602889504634188,0.132437897524506,-1.54610598035379,1,0.0847826775510037
"all","MSY-PA","GA","hr","all","one-way","meg",0,2,1,1.1,1,1.4,Inf,0.33,0.04632,0.47808,0.04472,0,331.51090383176,0.076190106797807,26.80462440893,1.02426608921971,0.98757126299181,1.05386221094171,0.111175711779917,-0.194648809453545,20,0.00534479751220981
"all","MSY-PA","GA","hr","all","random","meg",0,3,1,1.6,1,0.4,Inf,0.19,0.05036,0.16004,0.04984,0,632.344318684182,0.0249419591897062,15.3839870002808,1.95374823226825,0.323296070496876,0.604843489163501,0.0589057628154845,-1.44782167999131,37,0.0400111740710812
"all","MSY-PA","GA_cond_cap","hr","all","one-way","meg",0,4,1,1.5,1,1.53,1.2,0.7,0.04608,0.48948,0.04452,0,326.893065826633,0.0781497516949574,27.8278524200277,1.0099983990186,1.01297205408441,1.09409188615079,0.0742715970645607,-0.183102865455724,22,0.00474098322176862
"all","MSY-PA","GA_cond_cap","hr","all","random","meg",0,3,1,1.5,1,0.4,1.2,0.7,0.05096,0.16056,0.0502,0,633.582683763414,0.0245993506552869,15.2688868233811,1.95757439708536,0.318855200713794,0.60031816080759,0.0616416595764611,-1.47275654607994,48,0.0538586502257079
"none","MSY","GA","hr","all","one-way","lin",1,1,1,1.4,1,1,Inf,0,0.02292,0.17336,0.0048,0,346.147227714501,0.0778369481965429,44.5916177417211,1.31525728056625,0.829507794965578,1.09144843328288,0.22999361711303,-0.659619330962165,NA,NA
"none","MSY","GA","hr","all","random","lin",1,1,1,1.4,1,1,Inf,0,0.43616,0.6512,0.34492,0,187.622210878933,0.129689194263973,42.4628367084724,0.712909014131953,1.38209680694481,1.03934324308773,0.22404976175651,-0.986643990712292,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","lin",1,1,1,1.4,1,1,1.2,0.7,0.0232,0.13844,0.00492,0,374.569116572093,0.0714780187195228,43.8095931366081,1.42325206791213,0.761740729438993,1.07230717819357,0.2,-0.718759246105706,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","lin",1,1,1,1.4,1,1,1.2,0.7,0.37404,0.59688,0.27752,0,214.104118008062,0.119247473527921,42.893629034916,0.813532443603977,1.27081946444754,1.04988754790508,0.2,-0.810395104301101,NA,NA
"none","MSY-PA","GA","hr","all","one-way","lin",1,1,1,1.4,1,1,Inf,0,0.02292,0.17336,0.0048,0,346.147227714501,0.0778369481965429,44.5916177417211,1.31525728056625,0.829507794965578,1.09144843328288,0.22999361711303,-0.636699375338385,NA,4.4376220005763e-08
"none","MSY-PA","GA","hr","all","random","lin",1,1,1,1.4,1,1,Inf,0,0.43616,0.6512,0.34492,0,187.622210878933,0.129689194263973,42.4628367084724,0.712909014131953,1.38209680694481,1.03934324308773,0.22404976175651,-5.55048399071229,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","lin",1,1,1,1.4,1,1,1.2,0.7,0.0232,0.13844,0.00492,0,374.569116572093,0.0714780187195228,43.8095931366081,1.42325206791213,0.761740729438993,1.07230717819357,0.2,-0.695559297150509,NA,5.10448030968736e-08
"none","MSY-PA","GA_cond_cap","hr","all","random","lin",1,1,1,1.4,1,1,1.2,0.7,0.37404,0.59688,0.27752,0,214.104118008062,0.119247473527921,42.893629034916,0.813532443603977,1.27081946444754,1.04988754790508,0.2,-5.4363551043011,NA,5
"mult","MSY","GA","hr","all","one-way","lin",1,1,1,1.4,1,1.29,Inf,0,0.0472,0.50052,0.00896,0,263.108145843008,0.103620413029489,47.3719837290714,0.999733283092267,1.10428199353956,1.15950216747175,0.260245967264781,-0.46721485164426,1,NA
"mult","MSY","GA","hr","all","random","lin",1,1,1,1.4,1,0.8,Inf,0,0.2486,0.49632,0.16812,0,265.132089867423,0.100200916045132,42.6483436563402,1.00742367290456,1.06784043886526,1.04388381097622,0.204870941403866,-0.504778425284645,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","lin",1,1,1,1.4,1,1.41,1.2,0.7,0.05356,0.49784,0.011,0,263.589211450671,0.103036596010345,47.2048606583448,1.00156119038792,1.09806025978157,1.15541157325365,0.2,-0.410532763641565,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","lin",1,1,1,1.4,1,0.86,1.2,0.7,0.24944,0.498,0.16956,0,264.184471427913,0.101112081317259,43.0813781338537,1.0038230025771,1.07755072059191,1.05448299588978,0.199999999999999,-0.507745998466883,1,NA
"mult","MSY-PA","GA","hr","all","one-way","lin",1,1,1,1.4,1,1.29,Inf,0,0.0472,0.50052,0.00896,0,263.108145843008,0.103620413029489,47.3719837290714,0.999733283092267,1.10428199353956,1.15950216747175,0.260245967264781,-0.428308857045132,1,0.00829400540087209
"mult","MSY-PA","GA","hr","all","random","lin",1,1,1,1.4,1,0.38,Inf,0,0.0522,0.11572,0.03508,0,537.672747362801,0.0417125339420652,31.6940453994857,2.04299771574152,0.444530173065625,0.775760511673465,0.199133197410329,-1.56557193014877,1,0.0992015286703875
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","lin",1,1,1,1.4,1,1.37,1.2,0.7,0.04668,0.44756,0.00936,0,272.316167253728,0.1001264655597,47.1278592063617,1.03472104618956,1.06704702057952,1.15352684427578,0.2,-0.394645426137659,1,0.00639753567231505
"mult","MSY-PA","GA_cond_cap","hr","all","random","lin",1,1,1,1.4,1,0.38,1.2,0.7,0.05216,0.11084,0.03532,0,555.70247615073,0.0394022604818494,31.107640519521,2.11150536265099,0.419909605479752,0.761407350251649,0.19735215680628,-1.64472559204659,1,0.0972754228409648
"all","MSY-PA","GA","hr","all","one-way","lin",0,5,1,0.8,1,1.1,Inf,0.32,0.0416,0.33668,0.00916,0,297.113202029933,0.0913533631103849,45.6534085308797,1.12894245810495,0.973552131116964,1.11743739605193,0.0451315630489209,-0.29201656317534,28,0.000505145969538863
"all","MSY-PA","GA","hr","all","random","lin",1,4,1,1.4,1,0.37,Inf,0.32,0.04964,0.10844,0.03428,0,552.704087493411,0.0404199816970604,31.8287517065619,2.10011237089559,0.430755453122541,0.779057655739044,0.0553448227396689,-1.40438208401917,20,0.0279825461229489
"all","MSY-PA","GA_cond_cap","hr","all","one-way","lin",0,3,1,1.2,1,1.17,1.2,0.7,0.0456,0.40108,0.0096,0,280.308526907582,0.0971770226921005,46.677629301333,1.06508965348144,1.03561482923382,1.14250677482446,0.0824540161657517,-0.293780588640837,22,0.00373014416918348
"all","MSY-PA","GA_cond_cap","hr","all","random","lin",1,3,1,1.7,1,0.41,1.2,0.7,0.05224,0.11732,0.03544,0,518.887646558865,0.0449555240925321,33.9277066387394,1.97161987816159,0.479090695685503,0.830432806233148,0.0767896556795332,-1.3191417130869,26,0.101164985478927
"none","MSY","GA","hr","all","one-way","rjc",1,1,1,1.4,1,1,Inf,0,0.02148,0.16248,0.003,0,332.189302044147,0.0831916733054189,50.208541149861,1.32873967808913,0.833489522713511,1.09722403080379,0.226726199418254,-0.674169908311175,NA,NA
"none","MSY","GA","hr","all","random","rjc",1,1,1,1.4,1,1,Inf,0,0.4446,0.6372,0.32992,0,183.861227523454,0.134258774951098,47.9337767779276,0.735435207483351,1.34512599407953,1.04751284469599,0.224715521000065,-0.981393158212707,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","rjc",1,1,1,1.4,1,1,1.2,0.7,0.02124,0.12392,0.00332,0,360.297251225457,0.0766273547128225,49.6060031411307,1.44116999151914,0.767722234314394,1.08405656631446,0.2,-0.746466557833605,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","rjc",1,1,1,1.4,1,1,1.2,0.7,0.3812,0.58172,0.26412,0,209.790936871297,0.123939285621735,48.471612130917,0.839152676528214,1.24173600450449,1.05926634042403,0.2,-0.801313663895814,NA,NA
"none","MSY-PA","GA","hr","all","one-way","rjc",1,1,1,1.4,1,1,Inf,0,0.02148,0.16248,0.003,0,332.189302044147,0.0831916733054189,50.208541149861,1.32873967808913,0.833489522713511,1.09722403080379,0.226726199418254,-0.6526899299114,NA,2.16002252971744e-08
"none","MSY-PA","GA","hr","all","random","rjc",1,1,1,1.4,1,1,Inf,0,0.4446,0.6372,0.32992,0,183.861227523454,0.134258774951098,47.9337767779276,0.735435207483351,1.34512599407953,1.04751284469599,0.224715521000065,-5.53679315821271,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","rjc",1,1,1,1.4,1,1,1.2,0.7,0.02124,0.12392,0.00332,0,360.297251225457,0.0766273547128225,49.6060031411307,1.44116999151914,0.767722234314394,1.08405656631446,0.2,-0.725226576991287,NA,1.91576812631176e-08
"none","MSY-PA","GA_cond_cap","hr","all","random","rjc",1,1,1,1.4,1,1,1.2,0.7,0.3812,0.58172,0.26412,0,209.790936871297,0.123939285621735,48.471612130917,0.839152676528214,1.24173600450449,1.05926634042403,0.2,-5.42011366389581,NA,5
"mult","MSY","GA","hr","all","one-way","rjc",1,1,1,1.4,1,1.29,Inf,0,0.055,0.49452,0.00692,0,250.832192217111,0.110075907282004,53.4426609238331,1.00331553210784,1.10284012542825,1.16790033115492,0.254497743428855,-0.480713606691616,1,NA
"mult","MSY","GA","hr","all","random","rjc",1,1,1,1.4,1,0.82,Inf,0,0.28064,0.50072,0.17684,0,249.673648006423,0.108225499780315,48.2029645170345,0.998681416403063,1.08430106732149,1.05339549432854,0.206959837529601,-0.542313915455076,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","rjc",1,1,1,1.4,1,1.42,1.2,0.7,0.06284,0.49684,0.00848,0,250.509877671489,0.109856930265172,53.2656486933332,1.00202629093433,1.10064621536499,1.16403202371952,0.2,-0.428898314653856,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","rjc",1,1,1,1.4,1,0.88,1.2,0.7,0.27884,0.49876,0.17404,0,250.466759946198,0.108568501004031,48.615290791108,1.00185382230855,1.08773756420737,1.06240619820649,0.199999999999999,-0.543100020515041,1,NA
"mult","MSY-PA","GA","hr","all","one-way","rjc",1,1,1,1.4,1,1.26,Inf,0,0.04792,0.44712,0.006,0,257.873014805811,0.107383176665155,53.2790042101903,1.03147845090872,1.07586191153425,1.16432388629318,0.250976940773237,-0.458658780807361,1,0.0118795028322249
"mult","MSY-PA","GA","hr","all","random","rjc",1,1,1,1.4,1,0.4,Inf,0,0.0514,0.109,0.0304,0,509.010293687901,0.0475976847947921,37.409132027391,2.03601431357664,0.47687671140154,0.817514265340861,0.200623484826386,-1.48605812220049,1,0.0669345891383238
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","rjc",1,1,1,1.4,1,1.36,1.2,0.7,0.04852,0.42112,0.00636,0,263.153004236584,0.105374302424046,53.0857327609165,1.0525981299995,1.05573519012229,1.16010026071564,0.2,-0.428720724002918,1,0.0160223332877844
"mult","MSY-PA","GA_cond_cap","hr","all","random","rjc",1,1,1,1.4,1,0.43,1.2,0.7,0.05252,0.11,0.03208,0,503.708592064003,0.0487723561610593,38.3111166971842,2.01480778685915,0.48864563294758,0.837225637797587,0.197325427897679,-1.49092226768746,1,0.11601469072822
"all","MSY-PA","GA","hr","all","one-way","rjc",0,3,1,1.2,1,1.16,Inf,0.13,0.04436,0.3744,0.00576,0,271.615000659825,0.102121334564697,52.4238931872819,1.08644566914124,1.02314401217426,1.14563685930827,0.0791569796219411,-0.313246810309365,28,0.0020073022379141
"all","MSY-PA","GA","hr","all","random","rjc",1,4,1,1.6,1,0.41,Inf,0.25,0.04848,0.10344,0.029,0,507.198955229426,0.0487058580108812,38.8975201211414,2.02876905532957,0.487979394257443,0.850040507813248,0.0569737816171664,-1.25140839555763,51,0.0157060664241471
"all","MSY-PA","GA_cond_cap","hr","all","one-way","rjc",0,3,1,1.2,1,1.15,1.2,0.7,0.04772,0.35744,0.00704,0,274.972937483688,0.100654825343079,52.3324003771673,1.09987723923374,1.00845119470088,1.14363743634946,0.0826317814324972,-0.336897906554635,19,0.0107514495389456
"all","MSY-PA","GA_cond_cap","hr","all","random","rjc",1,4,1,1.8,1,0.44,1.2,0.7,0.05012,0.11344,0.03024,0,484.538280392751,0.0521339241142149,40.4108087215492,1.93812755181792,0.522324864985123,0.883110909380044,0.0605095075713954,-1.15104501863121,24,0.0355188686219438
"none","MSY","GA","hr","all","one-way","syc",1,1,1,1.4,1,1,Inf,0,0.02912,0.15524,0.00328,0,320.436934929657,0.095006158349898,66.5998207532756,1.36804580031171,0.825362276005904,1.10576257398267,0.231580858369422,-0.734509232663804,NA,NA
"none","MSY","GA","hr","all","random","syc",1,1,1,1.4,1,1,Inf,0,0.4424,0.60452,0.3088,0,185.450154012994,0.145002574005858,63.9133296630082,0.791744885527414,1.2597041769379,1.06115853046789,0.227197963618583,-0.939011608559059,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","syc",1,1,1,1.4,1,1,1.2,0.7,0.02552,0.1088,0.003,0,351.471327370028,0.0864737844498916,65.2735377008186,1.50054135751892,0.751237612256144,1.08374218195568,0.2,-0.809803539474602,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","syc",1,1,1,1.4,1,1,1.2,0.7,0.37252,0.5416,0.23732,0,214.032718647657,0.133736260057767,64.3563321666709,0.913772820662835,1.16182851620286,1.06851373928362,0.2,-0.727260918620789,NA,NA
"none","MSY-PA","GA","hr","all","one-way","syc",1,1,1,1.4,1,1,Inf,0,0.02912,0.15524,0.00328,0,320.436934929657,0.095006158349898,66.5998207532756,1.36804580031171,0.825362276005904,1.10576257398267,0.231580858369422,-0.705390217724788,NA,9.8506098441605e-07
"none","MSY-PA","GA","hr","all","random","syc",1,1,1,1.4,1,1,Inf,0,0.4424,0.60452,0.3088,0,185.450154012994,0.145002574005858,63.9133296630082,0.791744885527414,1.2597041769379,1.06115853046789,0.227197963618583,-5.49661160855906,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","syc",1,1,1,1.4,1,1,1.2,0.7,0.02552,0.1088,0.003,0,351.471327370028,0.0864737844498916,65.2735377008186,1.50054135751892,0.751237612256144,1.08374218195568,0.2,-0.784283702304115,NA,1.62829512331146e-07
"none","MSY-PA","GA_cond_cap","hr","all","random","syc",1,1,1,1.4,1,1,1.2,0.7,0.37252,0.5416,0.23732,0,214.032718647657,0.133736260057767,64.3563321666709,0.913772820662835,1.16182851620286,1.06851373928362,0.2,-5.35474091862079,NA,5
"mult","MSY","GA","hr","all","one-way","syc",1,1,1,1.4,1,1.29,Inf,0,0.11968,0.49792,0.0152,0,234.551842726616,0.127416509912804,71.1979730767449,1.00137539846323,1.10692593458047,1.18210609399903,0.261543246848108,-0.564704739310368,1,NA
"mult","MSY","GA","hr","all","random","syc",1,1,1,1.4,1,0.87,Inf,0,0.32336,0.49844,0.19684,0,234.991216817713,0.123894064706791,63.8429038990854,1.0032512242953,1.07632482994856,1.05998924542914,0.211885660376179,-0.598486130100621,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","syc",1,1,1,1.4,1,1.42,1.2,0.7,0.1206,0.49564,0.01756,0,235.120438981573,0.126611999556933,70.6526905834297,1.00380291425144,1.09993678240418,1.17305272168457,0.2,-0.497455635936004,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","syc",1,1,1,1.4,1,0.94,1.2,0.7,0.32148,0.498,0.19016,0,235.385488869466,0.125238221829318,64.3635489481017,1.00493449537233,1.08800214225365,1.06863356012879,0.2,-0.595048055501128,1,NA
"mult","MSY-PA","GA","hr","all","one-way","syc",1,1,1,1.4,1,1.12,Inf,0,0.04792,0.266,0.00516,0,280.591012837459,0.108637055653907,69.1883402336689,1.19793105873317,0.943780161943421,1.14873998640015,0.24269026791903,-0.601240815884576,1,0.0118795028322249
"mult","MSY-PA","GA","hr","all","random","syc",1,1,1,1.4,1,0.46,Inf,0,0.0524,0.1042,0.02712,0,487.434013060322,0.0572188526182117,50.7596617723038,2.08100871593545,0.49708653889029,0.842767046832806,0.2006964348038,-1.5483444585871,1,0.109406354680652
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","syc",1,1,1,1.4,1,1.21,1.2,0.7,0.04768,0.25072,0.00576,0,286.669962011159,0.106831209762234,69.0744269936317,1.22388399979852,0.928091946556604,1.14684867504091,0.2,-0.58127168014964,1,0.0105390053102162
"mult","MSY-PA","GA_cond_cap","hr","all","random","syc",1,1,1,1.4,1,0.48,1.2,0.7,0.05164,0.09976,0.02612,0,492.491905706379,0.056766667269631,50.9700774542005,2.10260244636602,0.493158196402148,0.846260596565956,0.197177761165226,-1.52885956001825,1,0.0753399490529638
"all","MSY-PA","GA","hr","all","one-way","syc",0,3,1,0.5,1,1.02,Inf,0.21,0.04392,0.22528,0.00472,0,299.172440822402,0.101813091585116,67.0177639031572,1.27726100402857,0.884497241625171,1.11270172018403,0.0723432760292678,-0.463917025744527,24,0.00161102550265671
"all","MSY-PA","GA","hr","all","random","syc",1,4,1,1.8,2,0.48,Inf,0.37,0.04716,0.09996,0.0244,0,480.834162990502,0.0595993196806507,53.1635685100969,2.05283188553141,0.517766753170461,0.882679317946023,0.0965977740286339,-1.27488038174741,27,0.00813004013338907
"all","MSY-PA","GA_cond_cap","hr","all","one-way","syc",0,3,1,1.3,1,1.05,1.2,0.7,0.04404,0.21932,0.00516,0,295.907700409498,0.103227756203878,68.1761292691425,1.26332280301575,0.896787085039597,1.13193416036505,0.0838905165956451,-0.480858091650276,25,0.0017106116738238
"all","MSY-PA","GA_cond_cap","hr","all","random","syc",1,4,1,1.7,2,0.52,1.2,0.7,0.05176,0.11372,0.0264,0,456.767444044333,0.0636224470526961,54.7963252988117,1.95008351231777,0.552717514490836,0.909788119876068,0.108310352520439,-1.22852998667315,24,0.0799242417110128
"none","MSY","GA","hr","all","one-way","sdv",1,1,1,1.4,1,1,Inf,0,0.0236,0.17176,0.00564,0,350.852751609934,0.0720780435701125,46.8376091579764,1.32054523836896,0.825479202983809,1.0900443230135,0.229028136337018,-0.663217697719483,NA,NA
"none","MSY","GA","hr","all","random","sdv",1,1,1,1.4,1,1,Inf,0,0.43588,0.65652,0.34444,0,188.334334428861,0.121097736799703,44.5149137733249,0.70885580178639,1.38688091831078,1.03598859805988,0.224371078804614,-0.9873838750781,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","sdv",1,1,1,1.4,1,1,1.2,0.7,0.02384,0.13732,0.00624,0,379.303341113213,0.0662264874403848,46.1223853219888,1.42762802544972,0.758463817286166,1.07339903099032,0.2,-0.724867056440041,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","sdv",1,1,1,1.4,1,1,1.2,0.7,0.3696,0.59956,0.2782,0,215.388892653133,0.111203835641883,45.0206918198531,0.810684183850663,1.27357027282672,1.04775949111429,0.2,-0.806675307263625,NA,NA
"none","MSY-PA","GA","hr","all","one-way","sdv",1,1,1,1.4,1,1,Inf,0,0.0236,0.17176,0.00564,0,350.852751609934,0.0720780435701125,46.8376091579764,1.32054523836896,0.825479202983809,1.0900443230135,0.229028136337018,-0.639617760065746,NA,6.23462631513436e-08
"none","MSY-PA","GA","hr","all","random","sdv",1,1,1,1.4,1,1,Inf,0,0.43588,0.65652,0.34444,0,188.334334428861,0.121097736799703,44.5149137733249,0.70885580178639,1.38688091831078,1.03598859805988,0.224371078804614,-5.5515038750781,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","sdv",1,1,1,1.4,1,1,1.2,0.7,0.02384,0.13732,0.00624,0,379.303341113213,0.0662264874403848,46.1223853219888,1.42762802544972,0.758463817286166,1.07339903099032,0.2,-0.701027126735256,NA,7.02952152991243e-08
"none","MSY-PA","GA_cond_cap","hr","all","random","sdv",1,1,1,1.4,1,1,1.2,0.7,0.3696,0.59956,0.2782,0,215.388892653133,0.111203835641883,45.0206918198531,0.810684183850663,1.27357027282672,1.04775949111429,0.2,-5.43707530726363,NA,5
"mult","MSY","GA","hr","all","one-way","sdv",1,1,1,1.4,1,1.29,Inf,0,0.04648,0.4972,0.01048,0,266.220773658077,0.0959130842372781,49.7150900835587,1.00200603642386,1.09845179489219,1.15701148474312,0.258155256929127,-0.463652778096106,1,NA
"mult","MSY","GA","hr","all","random","sdv",1,1,1,1.4,1,0.8,Inf,0,0.24352,0.49568,0.16744,0,267.837774184202,0.093497396593178,44.8784324932475,1.00809212905223,1.07078595086619,1.04444871214521,0.204692790390339,-0.500753631587774,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","sdv",1,1,1,1.4,1,1.41,1.2,0.7,0.05468,0.49364,0.01296,0,266.796066390238,0.0953318190860497,49.5399644211182,1.00417133247651,1.0917948121275,1.15293581270116,0.2,-0.411787145177673,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","sdv",1,1,1,1.4,1,0.86,1.2,0.7,0.24572,0.49944,0.16932,0,265.916283139131,0.0943591709760492,45.3179808024535,1.00085999010364,1.08065548665669,1.05467825092299,0.199999999999999,-0.501258241026632,1,NA
"mult","MSY-PA","GA","hr","all","one-way","sdv",1,1,1,1.4,1,1.29,Inf,0,0.04648,0.4972,0.01048,0,266.220773658077,0.0959130842372781,49.7150900835587,1.00200603642386,1.09845179489219,1.15701148474312,0.258155256929127,-0.422962212684154,1,0.00578943458804806
"mult","MSY-PA","GA","hr","all","random","sdv",1,1,1,1.4,1,0.41,Inf,0,0.0526,0.1204,0.03592,0,518.512130969546,0.0423952046627104,35.2028152903195,1.95158431121448,0.485534262889192,0.819269592345768,0.199233558274887,-1.45218338423195,1,0.120635107088346
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","sdv",1,1,1,1.4,1,1.37,1.2,0.7,0.04748,0.44536,0.01108,0,275.500149250786,0.0926742744996195,49.4233157954701,1.03693189976043,1.06135908331965,1.15022106755381,0.2,-0.396690966835911,1,0.0095379995216691
"mult","MSY-PA","GA_cond_cap","hr","all","random","sdv",1,1,1,1.4,1,0.42,1.2,0.7,0.05284,0.11548,0.03656,0,529.337687917543,0.0410607105941378,35.0526473067581,1.9923297168434,0.470250869423603,0.815774756445254,0.196734028631891,-1.50888757503886,1,0.135598586008815
"all","MSY-PA","GA","hr","all","one-way","sdv",0,3,1,0.5,1,1.15,Inf,0.21,0.04604,0.406,0.01044,0,283.970246460017,0.0897523555727459,48.3449684709174,1.06881178808067,1.02789558753827,1.12512485960261,0.0708406820426008,-0.269424522443636,28,0.00464719271775349
"all","MSY-PA","GA","hr","all","random","sdv",1,4,1,1.8,2,0.41,Inf,0.25,0.04744,0.1082,0.03332,0,529.544894296535,0.0412446376247909,36.111280352714,1.99310960355052,0.472357307544707,0.840412157086405,0.0943347305050307,-1.25638166460457,33,0.00934948763542024
"all","MSY-PA","GA_cond_cap","hr","all","one-way","sdv",0,3,1,1.1,1,1.11,1.2,0.7,0.04536,0.33612,0.01116,0,298.869660685107,0.0849869159435068,48.2995439121845,1.12489044335456,0.973319032568582,1.12406770098025,0.0783763847536704,-0.330643149301268,34,0.00330862021278521
"all","MSY-PA","GA_cond_cap","hr","all","random","sdv",1,4,1,1.7,1,0.41,1.2,0.7,0.04964,0.11224,0.0346,0,526.706711718536,0.0417301900613626,36.0006333650855,1.98242720624339,0.477918133262156,0.837837087118247,0.059078775629706,-1.2316514408778,18,0.0279825461229489
"none","MSY","GA","hr","all","one-way","ang",1,1,1,1.4,1,1,Inf,0,0.0338,0.154,0.0084,0,345.21712414242,0.0843342807742627,63.5817424788751,1.37441692534136,0.807482468510005,1.09591043206176,0.228848849895811,-0.732976207298933,NA,NA
"none","MSY","GA","hr","all","random","ang",1,1,1,1.4,1,1,Inf,0,0.4338,0.62056,0.32196,0,190.24062494124,0.135329093618951,60.2166224471454,0.757407198314089,1.29574675414794,1.03790840185415,0.224594740133447,-0.938895943673507,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","ang",1,1,1,1.4,1,1,1.2,0.7,0.0334,0.12364,0.0084,0,375.994378333751,0.0772544308842766,62.5369187948628,1.4969507630853,0.73969443956898,1.07790159602908,0.2,-0.808252359114384,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","ang",1,1,1,1.4,1,1,1.2,0.7,0.359,0.55852,0.25308,0,220.781725970321,0.123131255486107,60.9834477942169,0.879000836744411,1.17895509652584,1.05112559069895,0.2,-0.731124753954541,NA,NA
"none","MSY-PA","GA","hr","all","one-way","ang",1,1,1,1.4,1,1,Inf,0,0.0338,0.154,0.0084,0,345.21712414242,0.0843342807742627,63.5817424788751,1.37441692534136,0.807482468510005,1.09591043206176,0.228848849895811,-0.699186433431141,NA,1.02261322078187e-05
"none","MSY-PA","GA","hr","all","random","ang",1,1,1,1.4,1,1,Inf,0,0.4338,0.62056,0.32196,0,190.24062494124,0.135329093618951,60.2166224471454,0.757407198314089,1.29574675414794,1.03790840185415,0.224594740133447,-5.50509594367351,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","ang",1,1,1,1.4,1,1,1.2,0.7,0.0334,0.12364,0.0084,0,375.994378333751,0.0772544308842766,62.5369187948628,1.4969507630853,0.73969443956898,1.07790159602908,0.2,-0.774860731566411,NA,8.37245202755725e-06
"none","MSY-PA","GA_cond_cap","hr","all","random","ang",1,1,1,1.4,1,1,1.2,0.7,0.359,0.55852,0.25308,0,220.781725970321,0.123131255486107,60.9834477942169,0.879000836744411,1.17895509652584,1.05112559069895,0.2,-5.37212475395454,NA,5
"mult","MSY","GA","hr","all","one-way","ang",1,1,1,1.4,1,1.3,Inf,0,0.0794,0.50372,0.01608,0,250.537422045082,0.114932823160896,67.7456577757966,0.997467533354726,1.10045688309358,1.16768069242596,0.257736306164781,-0.507349465236012,1,NA
"mult","MSY","GA","hr","all","random","ang",1,1,1,1.4,1,0.85,Inf,0,0.27984,0.49752,0.18176,0,252.280120857695,0.112074861676876,61.1922494591718,1.00440576027431,1.07309252102354,1.05472454715932,0.208528946691557,-0.547499254125193,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","ang",1,1,1,1.4,1,1.42,1.2,0.7,0.09,0.49628,0.02072,0,251.954902337865,0.113210925400312,67.1219148839137,1.0031109640234,1.08397008506231,1.15692970770159,0.2,-0.450040671724997,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","ang",1,1,1,1.4,1,0.92,1.2,0.7,0.28488,0.49912,0.18692,0,251.702529780323,0.112652262273741,61.5046233328607,1.00210619024389,1.07862100665235,1.06010869948879,0.2,-0.547094889732681,1,NA
